,AREA,PERIMETER,COLUMBUS.,COLUMBUS.I,POLYID,NEIG,EVI,AL,CRIME,OPEN,PLUMB,DISCBD,X,Y,AREA,NSA,NSB,EW,CP,THOUS,NEIGNO,PERIM
1012,0.24712,2.147528,24,12,23,12,0.092,0.382,319.887,0.532632,0.216763,4.78,18.219,5.021,6.901,0,0,1,0,1000,1012,2.147528
1035,0.192226,2.240392,25,35,24,35,0.165,0.276,312.615,0.62622,18.811075,0.42,15.444,-16.557,6.0287,1,1,0,1,1000,1035,2.240392
1032,0.17168,1.666489,26,32,25,32,0.156,0.206,269.057,0,6.529851,0.83,66.073,58.814,5.554,1,1,1,1,1000,1032,1.666489
1020,0.107298,1.406823,27,20,26,20,0.358,0.02,300.391,1.238288,2.534275,1.5,1.135,9.499,3.7,1,1,1,1,1000,1020,1.406823
1021,0.137802,1.780751,28,21,27,21,0.272,0.109,311.17,19.368099,1.483516,2.24,22.818,-98.414,5.7,0,0,1,1,1000,1021,1.780751
1031,0.174773,1.637148,29,31,28,31,0.353,0.061,309.567,0.509305,3.001072,1.41,9.087,20.728,5.167,0,0,1,1,1000,1031,1.637148
1033,0.085972,1.312158,30,33,29,33,0.204,0.111,312.489,0,2.645051,0.81,20.363,73.761,2.218,0,0,1,1,1000,1033,1.312158
1034,0.104355,1.524931,31,34,30,34,0.221,0.333,276.498,1.63878,15.600624,0.37,55.15,156.412,3.193,0,0,0,1,1000,1034,1.524931
1045,0.117409,1.716047,32,45,31,45,0.079,0.436,322.153,3.936443,0.85389,3.78,19.856,55.219,3.812,1,1,0,0,1000,1045,1.716046
1013,0.18558,2.108951,33,13,32,13,0.086,0.38,319.249,2.221022,0.255102,4.76,19.478,4.833,8.671,0,0,1,0,1000,1013,2.108951
1022,0.087472,1.507971,34,22,33,22,0.162,0.258,317.64,0,1.023891,2.28,12.983,30.048,2.029,0,0,1,1,1000,1022,1.507971
1044,0.226594,2.519132,35,44,34,44,0.45,0.019,301.305,3.029087,0.386803,3.06,-0.969,-68.518,7.608,0,0,0,0,1000,1044,2.519132
1023,0.175453,1.974937,36,23,35,23,0.137,0.205,315.197,4.220401,0.633675,2.37,-28.463,20.745,6.38,0,0,1,1,1000,1023,1.974937
1046,0.17813,1.790058,37,46,36,46,0.2,0.083,297.742,6.773331,0.332349,4.23,-31.092,27.771,5.191,0,0,0,0,1000,1046,1.790058
1030,0.121154,1.402252,38,30,37,30,,0.967,221.718,4.839273,1.230329,1.08,-80.72,112.634,7.573,0,0,1,1,1000,1030,1.402253
1024,0.053881,0.934509,39,24,38,24,0.046,0.565,262.95,0,0.8,1.58,68.033,-119.634,1.557,0,0,1,1,1000,1024,0.934508
1047,0.174823,2.335402,40,47,39,47,0.223,0.114,312.638,0,0.314663,5.53,-20.352,20.54,6.402,0,0,0,0,1000,1047,2.335402
1016,0.302908,2.285487,41,16,40,16,0.411,0.043,307.471,6.45131,0.132743,4.4,-3.709,23.652,8.772,0,0,1,0,1000,1016,2.285486
1014,0.137024,1.525097,42,14,41,14,0.099,0.211,328.1,0.293317,0.247036,5.33,2.817,36.191,4.632,0,0,1,0,1000,1014,1.525097
1049,0.266541,2.176543,43,49,42,49,0.23,0.067,305.999,1.792993,0.134439,3.87,-31.777,-66.414,8.695,0,0,0,0,1000,1049,2.176543
1029,0.060241,0.967793,44,29,43,29,0.453,0.047,308.661,0,0.589226,1.95,-7.44,-49.472,2.274,0,0,1,1,1000,1029,0.967793
1025,0.173337,1.868044,45,25,44,25,0.148,0.322,276.808,1.463993,0.329761,2.67,52.444,133.896,6.305,0,0,1,0,1000,1025,1.868044
1028,0.256431,2.193039,46,28,45,28,0.156,0.159,300.547,1.006118,2.3912,2.13,-16.551,-70.301,8.785,0,0,1,1,1000,1028,2.193039
1048,0.124728,1.841029,47,48,46,48,0.338,0.095,298.69,9.683953,0.424628,5.27,34.71,118.055,3.822,0,0,0,0,1000,1048,1.841029
1015,0.245249,2.079986,48,15,47,15,-0.011,0.628,263.455,0,0.268817,5.57,60.996,-75.254,7.989,0,0,1,0,1000,1015,2.079986
1027,0.069762,1.102032,49,27,48,27,0.072,0.204,295.5,4.884389,1.034807,2.33,32.689,83.521,2.662,0,0,1,1,1000,1027,1.102032
1026,0.205964,2.199169,50,26,49,26,0.038,0.508,267.187,0.259826,0.901442,3.03,59.76,-69.595,7.005,0,0,1,0,1000,1026,2.199169
